cargo,split,model,RMSE,MAE,MAPE,status
Хлебные грузы,2,SARIMA,508.47088955305577,367.25469216494616,14.957202595269695,ok
Хлебные грузы,2,ETS,552.716097173929,413.7995393996494,16.800206138910344,ok
Хлебные грузы,3,GradBoost,733.1175598380557,588.2434320097487,34.92554497862652,ok
Хлебные грузы,3,RandomForest,700.5177893240364,545.7443526265073,33.138959472208526,ok
Хлебные грузы,3,Ridge,499.8626791378267,410.59181023527526,22.642667873728247,ok
Хлебные грузы,3,SARIMA,453.97099930368006,394.3911216439037,22.84538965717459,ok
Хлебные грузы,3,ETS,458.99039705419233,378.8373449933533,19.399862526827825,ok
Хлебные грузы,4,GradBoost,547.1082544850107,513.0697928574109,24.474480335840752,ok
Хлебные грузы,4,RandomForest,493.051454838465,417.12856829850097,21.146515074067416,ok
Хлебные грузы,4,Ridge,330.8466592381699,280.43253791767586,13.49057204532711,ok
Хлебные грузы,4,SARIMA,699.5284143160113,673.0549369958393,31.173368829077685,ok
Хлебные грузы,4,ETS,724.4277933826587,697.2820099664082,32.95309318296055,ok
Хлебные грузы,5,GradBoost,653.904250907516,597.7160760807707,19.98377109232274,ok
Хлебные грузы,5,RandomForest,712.6482694126323,658.2693333268415,22.1343986655793,ok
Хлебные грузы,5,Ridge,740.8451723628973,675.8693392988616,22.75097927156146,ok
Хлебные грузы,5,SARIMA,402.81414439550844,366.8263063131397,12.526770145445123,ok
Хлебные грузы,5,ETS,540.5337206013872,472.77163485741494,16.018659340242245,ok
Остальные грузы,1,GradBoost,734.4889862509938,443.82343303568837,3.630103296121768,ok
Остальные грузы,1,RandomForest,685.8080814122691,451.45624809806606,3.804276286157067,ok
Остальные грузы,1,Ridge,1044.6509162050331,760.9572600370371,6.056278620142983,ok
Остальные грузы,1,SARIMA,1372.8322633465566,1091.477175491915,8.821697001686617,ok
Остальные грузы,1,ETS,863.9876293149157,518.4955139165403,4.17699434432159,ok
Остальные грузы,2,GradBoost,714.796121262435,602.8687557134067,4.655348216796812,ok
Остальные грузы,2,RandomForest,697.4472712821209,616.5936425720909,4.752118502938282,ok
Остальные грузы,2,Ridge,770.7116206982982,601.2006385520223,4.677910278176198,ok
Остальные грузы,2,SARIMA,450.25470210616766,326.5111970838845,2.5604569881248946,ok
Остальные грузы,2,ETS,511.4856473063619,375.9495453694558,2.9372050218364976,ok
Остальные грузы,3,GradBoost,571.0326160412932,497.07351897343983,3.6606386951980325,ok
Остальные грузы,3,RandomForest,625.9385337748563,535.7106854357197,3.9331979051060726,ok
Остальные грузы,3,Ridge,439.22241827959033,336.4636548866404,2.52511477852841,ok
Остальные грузы,3,SARIMA,391.64472715858176,317.33314690721954,2.396280772535996,ok
Остальные грузы,3,ETS,435.4957790919465,378.7136448667543,2.8690515337738116,ok
Остальные грузы,4,GradBoost,806.1931933652239,667.7634790134588,4.686032763673145,ok
Остальные грузы,4,RandomForest,826.6736734869157,670.2533396927739,4.671356046588882,ok
Остальные грузы,4,Ridge,738.9441513490943,558.3910725622349,3.949648811570514,ok
Остальные грузы,4,SARIMA,736.8405067153632,581.0179792034654,4.154218898784933,ok
Остальные грузы,4,ETS,833.5159520678924,645.8142310393472,4.603222291607825,ok
Остальные грузы,5,GradBoost,17616.614282538674,17600.016617831152,55.505119590034425,ok
Остальные грузы,5,RandomForest,17742.02661719722,17723.159857889546,55.8841852797865,ok
Остальные грузы,5,Ridge,17364.44857627793,17342.822828857286,54.698269590742754,ok
Остальные грузы,5,SARIMA,18442.639870327825,18428.23826834199,58.13241160721204,ok
Остальные грузы,5,ETS,18747.130742797443,18731.27955133858,59.09099767671543,ok
